Region,SiteName,Site description,,Latitude,Longitude,Individual ID,Taxon common name,Sex,Age category individual,Sample type,Min age (95%),Max age (95%),Dating method,14C,14C unc,Period_tags,Period_2,Group,d13C_coll,delta 13C coll_err,d15N_coll,delta 15N coll_err,Collagen yield,,%C,%N,C/N,Reference
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0414,Human,F,Mature adult,Fibula,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-20,0.5,10.1,0.5,0.45,,33,10.7,3.6,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0436,Human,F,Adult,Ulna,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.7,0.5,10.6,0.5,0.69,,13.4,4.3,3.7,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0885,Human,F,Adult,Femur,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.8,0.5,11.7,0.5,0.05,,29.5,7.9,4.3,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ1355,Human,F,Mature adult,Rib,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.6,0.5,10.6,0.5,0.18,,32.6,9.4,4,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0253,Human,M,Mature adult,Humerus,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-21.5,0.5,9,0.5,2.99,,5.1,0.5,12.1,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0089,Human,M,Adult,Limb,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-20.2,0.5,10.9,0.5,0.73,,36.1,10.8,3.9,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0263,Human,F,Mature adult,Limb,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-20.7,0.5,10.2,0.5,1.02,,7.7,1.9,4.8,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0292,Human,F,Mature adult,Femur,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-19.9,0.5,12.2,0.5,0.65,,31,8,4.5,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0294,Human,F,Adult,Metatarsal,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-20.4,0.5,13.3,0.5,0.09,,26,7.2,4.2,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
Kyushu,Yoshinogari,Cemetery,,33.19,130.23,SJ0315,Human,F,Mature-older adult,Limb,-150,100,Burial type,,,Middle Yayoi,Yayoi,"Yoshinogari, Yayoi",-20.5,0.5,13.3,0.5,0.09,,16.4,4.3,4.5,"Yoneda, M., Uno, A., Wakabe, T., Saeki, K., Takamura, K., Tsurumoto, T. (2020) Yoshinogari iseki shutsudo jinkotsu no tanso, chiso doitai bunseki, in Yoshinogari iseki: Yayoi jidai sokatsu hen 1, pp. 393-401. Saga Board of Education."
