Count,Sherd sample Database Individual  number,Sherd_ID_original ,Sample_ID,Vessel_ID,Site_code,Site_name,Country,Region,Latitude ,Longitude ,Phase,Phase_2,Sample_type,Yield_AE,d13C16,d13C18,bigD,Miliacin,Aquatic,AE GC-MS Scan Data file ,TMTD,Pristanic ,Phytanic,SRR_RRR ,APAA_range,APAA_C18_area ,APAA_C20_area ,APAA_EH,APAA_20_18,
67,ENC252,001813198 R-9 (context ID),SHC06IAE,SHC06,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,11.55,-27.506,-27.248,0.258,no,yes,2021_07_12_MB,no,tr,tr,,,130406,9173.9,5.31,0.07,
68,ENC253,SHC6IV SK500 loc2-2 (context ID),SHC07IAE,SHC07,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,56.14,-25.752,-26.51,-0.757,no,no,2021_07_12_MB,yes,tr,yes,91.1,,0,0,,,
69,ENC254,SHC6IV SK500 loc2-2 (context ID),SHC08IAE,SHC08,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,11.6,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
70,ENC255,001813198 R-11  (context ID),SHC09IAE,SHC09,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,7.35,,,,no,no,2021_07_12_MB,no,no,no,,,0,0,,,
71,ENC256,001813198 R-11  (context ID),SHC10IAE,SHC10,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,49.89,-26.748,-26.849,-0.102,no,yes,2021_07_12_MB,tr,yes,yes,89.6,,1916078,172762,6.41,0.09,
72,ENC257,SHC6IV SD507 loc1 (context ID),SHC11IAE,SHC11,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,3.12,,,,no,no,2021_07_12_MB,no,yes,no,,,0,0,,,
73,ENC258,SHC6IV SD507 loc1 (context ID),SHC12IAE,SHC12,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,5.24,,,,no,no,2021_07_12_MB,no,tr,no,,,0,0,,,
74,ENC259,SHC6IV SD507 loc1 (context ID),SHC13IAE,SHC13,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,45.68,-25.682,-25.919,-0.237,no,no,2021_07_12_MB,no,tr,no,,,0,0,,,
75,ENC260,SHC6IV SD507 loc1 (context ID),SHC14IAE,SHC14,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,109.6,-27.106,-26.394,0.712,no,no,2021_07_12_MB,tr,no,tr,,,0,0,,,
76,ENC261,SHC6IV SD507 loc1 (context ID),SHC15IAE,SHC15,SHC,Shimotsukiguma C,Japan,Kyushu,33.34,130.28,Initial Yayoi,Yayoi,ceramic,1449.87,,,,no,no,2021_07_12_MB,no,no,no,,,322780,0,,,
